id;Dataset;k;normalize;meka;weka;model size;status;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference)
193;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.rules.DecisionTable -- -E auc -S BestFirst -X 1;16207;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.rules.DecisionTable -- -E auc -I -S BestFirst -X 1;22478;success;0.566;0.566;0.729;0.256;0.434;0.271;0.744;0.678;0.205;0.269;0.656;0.527;0.993;0.72;0.72;0.728;0.65;0.72;0.667;0.621;0.625;0.609;0.003;0.612;"[""0.795"", ""0.641"", ""0.590"", ""0.718"", ""0.744"", ""0.667"", ""0.949""]";"[""0.000"", ""0.604"", ""0.588"", ""0.575"", ""0.181"", ""0.566"", ""0.800""]";"[""0.795"", ""0.643"", ""0.611"", ""0.875"", ""0.757"", ""0.417"", ""1.000""]";"[""1.000"", ""0.500"", ""0.550"", ""0.412"", ""0.966"", ""0.455"", ""0.667""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""1.000"", ""0.359"", ""0.462"", ""0.205"", ""0.949"", ""0.308"", ""0.103""]";"[""-0.205"", ""0.103"", ""0.051"", ""0.231"", ""-0.205"", ""-0.026"", ""0.051""]"
223;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.rules.DecisionTable -- -E auc -S BestFirst -X 3;16213;success;0.58;0.58;0.744;0.256;0.42;0.256;0.744;0.702;0.205;0.254;0.664;0.499;0.939;0.735;0.735;0.76;0.655;0.735;0.673;0.629;0.627;0.817;0.003;0.82;"[""0.795"", ""0.641"", ""0.641"", ""0.718"", ""0.744"", ""0.718"", ""0.949""]";"[""0.000"", ""0.604"", ""0.634"", ""0.522"", ""0.000"", ""0.511"", ""0.800""]";"[""0.795"", ""0.643"", ""0.636"", ""1.000"", ""0.744"", ""0.500"", ""1.000""]";"[""1.000"", ""0.500"", ""0.700"", ""0.353"", ""1.000"", ""0.364"", ""0.667""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""1.000"", ""0.359"", ""0.564"", ""0.154"", ""1.000"", ""0.205"", ""0.103""]";"[""-0.205"", ""0.103"", ""-0.051"", ""0.282"", ""-0.256"", ""0.077"", ""0.051""]"
230;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.rules.DecisionTable -- -E auc -S GreedyStepwise -X 3;16304;success;0.558;0.558;0.722;0.179;0.442;0.278;0.821;0.678;0.205;0.277;0.659;0.542;1.02;0.719;0.697;0.612;0.558;0.708;0.557;0.547;0.576;0.581;0.003;0.584;"[""0.795"", ""0.641"", ""0.590"", ""0.718"", ""0.744"", ""0.718"", ""0.846""]";"[""0.000"", ""0.604"", ""0.589"", ""0.522"", ""0.000"", ""0.585"", ""0.000""]";"[""0.795"", ""0.643"", ""0.600"", ""1.000"", ""0.744"", ""0.500"", ""0.000""]";"[""1.000"", ""0.500"", ""0.600"", ""0.353"", ""1.000"", ""0.455"", ""0.000""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""1.000"", ""0.359"", ""0.513"", ""0.154"", ""1.000"", ""0.256"", ""0.000""]";"[""-0.205"", ""0.103"", ""0.000"", ""0.282"", ""-0.256"", ""0.026"", ""0.154""]"
248;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.rules.DecisionTable -- -E auc -S BestFirst -X 3;16213;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.rules.DecisionTable -- -E auc -S BestFirst -X 3;16213;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
294;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id;Dataset;k;normalize;meka;weka;model size;status;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference)
1;flags;0;False;meka.classifiers.multilabel.PMCC -Iy 28 -Is 827 -B 0.02 -O 0 -M 40 -P 'Hamming score';weka.classifiers.functions.SimpleLogistic -- -W 0.9;1000000000.0;timeout;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;flags;0;False;meka.classifiers.multilabel.PMCC -Iy 11 -Is 1114 -B 0.06999999999999999 -O 0 -M 23 -P 'Log Loss (lim. L)';weka.classifiers.functions.SimpleLogistic -- -W 0.9 -A;1000000000.0;timeout;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;flags;0;False;meka.classifiers.multilabel.PS -P 3 -N 5;weka.classifiers.bayes.NaiveBayes -- -D;19956.0;success;0.489;0.489;0.704;0.05;0.511;0.296;0.95;0.671;0.175;0.249;0.658;0.577;1.093;0.74;0.565;0.48;0.401;0.641;0.414;0.503;0.561;0.597;0.027;0.624;"[""0.775"", ""0.550"", ""0.675"", ""0.575"", ""0.750"", ""0.725"", ""0.875""]";"[""0.247"", ""0.105"", ""0.670"", ""0.517"", ""0.686"", ""0.000"", ""0.000""]";"[""0.833"", ""0.500"", ""0.667"", ""0.500"", ""0.857"", ""0.000"", ""0.000""]";"[""0.909"", ""0.056"", ""0.632"", ""0.412"", ""0.800"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""0.900"", ""0.050"", ""0.450"", ""0.350"", ""0.700"", ""0.050"", ""0.000""]";"[""-0.075"", ""0.400"", ""0.025"", ""0.075"", ""0.050"", ""0.175"", ""0.125""]"
4;flags;0;False;meka.classifiers.multilabel.FW;weka.classifiers.functions.Logistic -- -R 1e-10;210095.0;success;0.402;0.402;0.586;0.0;0.598;0.414;1.0;0.463;0.25;0.378;0.673;0.285;0.54;0.551;0.618;0.5;0.529;0.583;0.508;0.586;0.585;5.233;0.024;5.257;"[""0.600"", ""0.675"", ""0.550"", ""0.575"", ""0.600"", ""0.600"", ""0.500""]";"[""0.400"", ""0.664"", ""0.543"", ""0.578"", ""0.420"", ""0.526"", ""0.000""]";"[""0.815"", ""0.647"", ""0.522"", ""0.500"", ""0.750"", ""0.267"", ""0.000""]";"[""0.667"", ""0.611"", ""0.632"", ""0.647"", ""0.700"", ""0.444"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""0.675"", ""0.425"", ""0.575"", ""0.550"", ""0.700"", ""0.375"", ""0.375""]";"[""0.150"", ""0.025"", ""-0.100"", ""-0.125"", ""0.050"", ""-0.150"", ""-0.250""]"
5;flags;0;False;meka.classifiers.multilabel.PSt -P 1 -N 0;weka.classifiers.rules.DecisionTable -- -E rmse -I -S GreedyStepwise -X 3;20578.0;success;0.575;0.575;0.718;0.225;0.425;0.282;0.775;0.7;0.2;0.21;0.811;0.532;0.537;0.686;0.733;0.477;0.544;0.708;0.494;0.657;0.658;0.448;0.014;0.462;"[""0.825"", ""0.700"", ""0.625"", ""0.475"", ""0.750"", ""0.775"", ""0.875""]";"[""0.000"", ""0.597"", ""0.534"", ""0.474"", ""0.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.800"", ""0.567"", ""0.400"", ""0.750"", ""0.000"", ""0.000""]";"[""1.000"", ""0.444"", ""0.895"", ""0.471"", ""1.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.250"", ""0.750"", ""0.500"", ""1.000"", ""0.000"", ""0.000""]";"[""-0.175"", ""0.200"", ""-0.275"", ""-0.075"", ""-0.250"", ""0.225"", ""0.125""]"
