id;Dataset;k;normalize;meka;weka;model size;status;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference)
31;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;flags;0;False;meka.classifiers.multilabel.BRq -P 0.4;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
