712;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
713;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
714;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715;flags;0;False;meka.classifiers.multilabel.RAkELd -P 2 -N 0 -batch-size 11;weka.classifiers.rules.JRip -- -N 1.5 -O 4;19135;success;0.553;0.553;0.721;0.25;0.447;0.279;0.75;0.667;0.2;0.315;0.647;0.542;1.028;0.702;0.702;0.671;0.606;0.702;0.605;0.559;0.59;0.58;0.003;0.583;"[""0.800"", ""0.700"", ""0.550"", ""0.725"", ""0.600"", ""0.775"", ""0.900""]";"[""0.000"", ""0.633"", ""0.469"", ""0.621"", ""0.000"", ""0.199"", ""0.733""]";"[""0.821"", ""0.750"", ""0.517"", ""0.800"", ""0.706"", ""0.500"", ""0.600""]";"[""0.970"", ""0.500"", ""0.789"", ""0.471"", ""0.800"", ""0.111"", ""0.600""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""0.975"", ""0.300"", ""0.725"", ""0.250"", ""0.850"", ""0.050"", ""0.125""]";"[""-0.150"", ""0.150"", ""-0.250"", ""0.175"", ""-0.100"", ""0.175"", ""0.000""]"
716;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
717;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
718;flags;0;False;meka.classifiers.multilabel.PSt -P 4 -N 3;weka.classifiers.bayes.NaiveBayes --;11868;success;0.501;0.501;0.675;0.025;0.499;0.325;0.975;0.684;0.2;0.234;0.785;0.597;0.946;0.649;0.664;0.351;0.475;0.657;0.403;0.503;0.542;0.341;0.012;0.353;"[""0.825"", ""0.550"", ""0.525"", ""0.425"", ""0.750"", ""0.775"", ""0.875""]";"[""0.000"", ""0.000"", ""0.459"", ""0.401"", ""0.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.000"", ""0.500"", ""0.385"", ""0.750"", ""0.000"", ""0.000""]";"[""1.000"", ""0.000"", ""0.737"", ""0.588"", ""1.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""0.000"", ""0.700"", ""0.650"", ""1.000"", ""0.000"", ""0.000""]";"[""-0.175"", ""0.450"", ""-0.225"", ""-0.225"", ""-0.250"", ""0.225"", ""0.125""]"
719;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
721;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
